,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
인생닭갈비,"대인
대인
13,900원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
꽃채움김밥 경남대점,,,,,"샐러드김밥
4,500원
주문하기","계란듬뿍김밥 (약간매운맛있어요)
4,500원
주문하기","매운참치김밥
4,500원
주문하기","크래미샌드위치
5,000원
주문하기","단호박샌드위치
5,000원
주문하기","우동
5,500원
주문하기",,,,,,,고객센터,이용약관,,,,,,,,,,,,,,,,,,,
제일횟집,"고급어종
고급어종
대표
고급어종경우 인당 25000원정도 측정되는것 같습니다
25,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
떡볶이뱅크,"떡볶이
3,000원","찰순대
4,000원","순대볶음
3,000원","유부주머니
3,000원","튀김
2,000원","만두
1,000원","김밥
2,500원","어묵
500원","계란
500원",,,,,,,,,,,,,,,,,,,,,,,,,,,,
형제횟집,"모듬회 소
모듬회 소
45,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김밥에반하다,"이미지 준비중
궁채김밥
대표
4,000원","이미지 준비중
우엉김밥
대표
4,000원","반한김밥
반한김밥
김밥에 반하다 기본김밥
3,000원","이미지 준비중
한입김밥
한입에 쏘옥 넣기 좋아 아이도 먹기 쉬워요
2,500원","이미지 준비중
참치김밥
3,500원","이미지 준비중
돈까스김밥
3,500원","이미지 준비중
김치김밥
3,500원","이미지 준비중
치즈김밥
3,500원","이미지 준비중
미역줄기김밥
계절메뉴로 5월~9월에는 주문이 불가능합니다
3,500원","이미지 준비중
해초샐러드김밥
4,000원","이미지 준비중
새우김밥
4,000원","이미지 준비중
김치먹은참치김밥
4,000원","이미지 준비중
왕소세지김밥
4,000원","이미지 준비중
스팸김밥
4,000원","이미지 준비중
불고기김밥
4,000원",,,,,,,,,,,,,,,,,,,,,,
아웃닭 경남대점,"오리지날 프린스톤 후라이드치킨
오리지날 프린스톤 후라이드치킨
17,700원","순살양념치킨
순살양념치킨
19,600원","이미지 준비중
마틴 간장치킨
18,700원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월몽,"아메리카노
3,000원","스콘
2,500원","레몬케이크
2,500원","마카롱
2,000원","다쿠아즈
2,500원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도쿄스테이크 창원경남대점,,,,,"등심 스테이크 덮밥(140g)
9,900원
주문하기","하카타 돈코츠 탄탄멘 ~ 차슈(기본 매운맛)
8,500원
주문하기","하카타 돈코츠 탄탄멘 ~ 차슈(매운맛)
8,600원
주문하기","하카타 돈코츠 탄탄멘 ~ 차슈(아주 많이 매운맛)
8,700원
주문하기","등심 스테이크(200g)
17,500원
주문하기","등심 스테이크(150g)
14,500원
주문하기","등심 스테이크(300g)
23,500원
주문하기","명란 마요 규동(140g)
8,900원
주문하기","쉬림프 크림파스타 (새우가 어엄청 커졌어요)(오동통한 새우 3마리)
10,900원
주문하기","도쿄 명란 파스타
8,900원
주문하기",,,,,고객센터,이용약관,,,,,,,,,,,,,,,,,
부성김밥,김밥류,면류,계절메뉴,분식류&식사류,음료,"부성김밥
2,500원","애기김밥
2,500원","치즈김밥
3,200원","김치김밥
3,200원","참치김밥
3,200원","땡초김밥
3,500원","쇠고기김밥
3,500원","참땡김밥
(참치+땡초)
3,500원","돈까스김밥
3,500원","새우김밥
3,500원","톳김밥
주문수 1
3,200원","돌우동
5,500원","우동
4,500원","쫄면
5,000원","잔치국수
4,500원","비빔국수
5,500원","신라면
치즈,콩나물,떙초,떡,오뎅,민두 추가시 각각 500원
3,500원","콩국수
6,000원","냉면
5,500원","콩나물비빔밥
5,000원","떡볶이
치즈,튀김만두,라면,우동,쫄면사리 추가시 각각1000원
3,500원","손수제비
5,000원","순두부
(밥+순두부)
6,000원","만둣국
(밥+만두국)
6,000원","떡국
5,500원","떡만두국
6,500원","오므라이스
6,000원","돈까스
6,000원","치즈돈가스
7,000원","공기밥 추가
1,000원","콜라
1,500원","사이다
1,500원"
